time,force,rate
0.0,0.0,21.105000000000004
0.05,2.313407661999394e-09,21.209999999837255
0.1,7.151320155886544e-09,21.3149999994961
0.15000000000000002,1.451339338240107e-08,21.419999998975673
0.2,2.4378765558164805e-08,21.52499999827656
0.25,3.6725295300552976e-08,21.62999999739945
0.30000000000000004,5.153146253568297e-08,21.734999996344985
0.35000000000000003,6.877652069291578e-08,21.83999999511376
0.4,8.84404744382225e-08,21.94499999370633
0.45,1.1050404182339042e-07,22.0499999921232
0.5,1.3494861678683006e-07,22.154999990364853
0.55,1.6175623351118942e-07,22.2599999884317
0.6000000000000001,1.9090953287953583e-07,22.364999986324154
0.65,2.2239173038420252e-07,22.469999984042563
0.7000000000000001,2.5618658592468175e-07,22.574999981587258
0.75,2.922783752540384e-07,22.679999978958534
0.8,3.3065186297064474e-07,22.784999976156662
0.8500000000000001,3.712922769701688e-07,22.88999997318188
0.9,4.141852842786183e-07,22.994999970034403
0.9500000000000001,4.593169681916647e-07,23.099999966714424
1.0,5.066738066495269e-07,23.20499996322211
1.05,5.562426517805256e-07,23.309999959557608
1.1,6.080107105500482e-07,23.414999955721036
1.1500000000000001,6.619655264550711e-07,23.519999951712514
1.2000000000000002,7.180949622076496e-07,23.62499994753212
1.25,7.763871833538323e-07,23.72999994317993
1.3,8.368306427773581e-07,23.834999938655997
1.35,8.994140660402491e-07,23.939999933960358
1.4000000000000001,9.641264375149834e-07,24.044999929093052
1.4500000000000002,1.0309569872654011e-06,24.14999992405408
1.5,1.099895178635818e-06,24.25499991884344
1.55,1.1709306965099975e-06,24.359999913461127
1.6,1.2440534362037306e-06,24.46499990790712
1.6500000000000001,1.3192534929567219e-06,24.569999902181376
1.7000000000000002,1.3965211519913295e-06,24.674999896283857
1.75,1.4758468791074995e-06,24.779999890214512
1.8,1.5572213117848391e-06,24.884999883973272
1.85,1.6406352507644017e-06,24.989999877560074
1.9000000000000001,1.7260796520842012e-06,25.094999870974842
1.9500000000000002,1.8135456195381822e-06,25.19999986421748
2.0,1.9030243975456005e-06,25.304999857287907
2.0500000000000003,1.994507364407548e-06,25.40999985018602
2.1,2.087986025926852e-06,25.51499984291172
2.15,2.18345200937056e-06,25.619999835464892
2.2,2.2808970577570097e-06,25.72499982784543
2.25,2.3803130244500516e-06,25.829999820053196
2.3000000000000003,2.4816918680439733e-06,25.934999812088087
2.35,2.5850256475230574e-06,26.039999803949964
2.4000000000000004,2.6903065176810815e-06,26.144999795638697
2.45,2.7975267247869502e-06,26.249999787154145
2.5,2.9066786024829042e-06,26.35499977849618
2.5500000000000003,3.0177545679028403e-06,26.45999976966465
2.6,3.1307471179986955e-06,26.564999760659404
2.6500000000000004,3.2456488260638394e-06,26.66999975148031
2.7,3.362452338442643e-06,26.774999742127207
2.75,3.481150371416298e-06,26.87999973259994
2.8000000000000003,3.6017357082552454e-06,26.98499972289836
2.85,3.724201196429265e-06,27.08999971302231
2.9000000000000004,3.848539744966629e-06,27.194999702971618
2.95,3.974744321954339e-06,27.299999692746137
3.0,4.10280795217174e-06,27.404999682345696
3.0500000000000003,4.232723714850343e-06,27.509999671770146
3.1,4.364484741552998e-06,27.6149996610193
3.1500000000000004,4.498084214165969e-06,27.71999965009301
3.2,4.633515362997834e-06,27.824999638991102
3.25,4.77077146497936e-06,27.929999627713403
3.3000000000000003,4.909845841958967e-06,28.034999616259746
3.35,5.050731859088577e-06,28.13999960462997
3.4000000000000004,5.193422923294931e-06,28.244999592823902
3.45,5.337912481831816e-06,28.349999580841363
3.5,5.484194020908761e-06,28.454999568682183
3.5500000000000003,5.632261064392111e-06,28.559999556346202
3.6,5.782107172574535e-06,28.664999543833236
3.6500000000000004,5.933725941009301e-06,28.769999531143114
3.7,6.087110999405771e-06,28.874999518275676
3.75,6.242256010582834e-06,28.979999505230737
3.8000000000000003,6.399154669477163e-06,29.084999492008127
3.85,6.55780070220328e-06,29.189999478607675
3.9000000000000004,6.718187865162679e-06,29.294999465029207
3.95,6.880309944199311e-06,29.39999945127255
4.0,7.044160753798977e-06,29.50499943733754
4.05,7.209734136330197e-06,29.609999423223996
4.1000000000000005,7.3770239613243686e-06,29.714999408931746
4.15,7.5460241247930466e-06,29.81999939446063
4.2,7.716728548580363e-06,29.924999379810465
4.25,7.889131179748689e-06,30.029999364981087
4.3,8.063225989995738e-06,30.13499934997232
4.3500000000000005,8.239006975101413e-06,30.239999334783995
4.4,8.416468154402769e-06,30.34499931941595
4.45,8.595603570295628e-06,30.44999930386801
4.5,8.776407287761362e-06,30.55499928814001
4.55,8.958873393917462e-06,30.65999927223178
4.6000000000000005,9.142995997590707e-06,30.764999256143142
4.65,9.328769228911606e-06,30.86999923987395
4.7,9.516187238929007e-06,30.97499922342402
4.75,9.70524419924382e-06,31.079999206793197
4.800000000000001,9.89593430166078e-06,31.18499918998132
4.8500000000000005,1.0088251757857246e-05,31.289999172988203
4.9,1.028219079906824e-05,31.394999155813707
4.95,1.047774567578669e-05,31.49999913845765
5.0,1.0674910657478186e-05,31.604999120919885
5.050000000000001,1.087368003230942e-05,31.70999910320024
5.1000000000000005,1.1074048106889545e-05,31.81499908529856
5.15,1.1276009206023798e-05,31.919999067214675
5.2,1.1479557672478732e-05,32.024999048948445
5.25,1.168468786675839e-05,32.12999903049968
5.300000000000001,1.1891394166890835e-05,32.234999011868254
5.3500000000000005,1.2099670968224595e-05,32.339998993053996
5.4,1.230951268323427e-05,32.444998974056745
5.45,1.2520913741335041e-05,32.54999895487635
5.5,1.2733868588705418e-05,32.65499893551266
